date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:09	13/13	U-----	200	untouched ('OK')	text/plain	date:Wed,%2025%20Jan%202017%2011:00:29%20GMT	http://reinoudvanlaar.nl/robots.txt		(from )
17:34:11	44863/44863	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2001%20Mar%202017%2016:30:51%20GMT	http://reinoudvanlaar.nl/project/leavespattern/	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/project/leavespattern/index.html	(from )
17:34:11	102668/102668	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202017%2016:30:51%20GMT	http://www.creativeapplications.net/processing/random-access-memory-materialising-mathematical-process-algorithm/	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/www.creativeapplications.net/processing/random-access-memory-materialising-mathematical-process-algorithm/index.html	(from )
17:34:11	25263/25263	U-----	200	untouched ('OK')	text/css	date:Wed,%2025%20Jan%202017%2011:01:13%20GMT	http://reinoudvanlaar.nl/wp-content/themes/reinoudvanlaar/css/style.css?ver=1.0	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/wp-content/themes/reinoudvanlaar/css/style5152.css	(from http://reinoudvanlaar.nl/project/leavespattern/)
17:34:11	4346/4346	U-----	200	untouched ('OK')	text/css	date:Wed,%2025%20Jan%202017%2011:01:12%20GMT	http://reinoudvanlaar.nl/wp-content/themes/reinoudvanlaar/css/MyFontsWebfontsKit.css	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/wp-content/themes/reinoudvanlaar/css/MyFontsWebfontsKit.css	(from http://reinoudvanlaar.nl/project/leavespattern/)
17:34:12	146945/146945	U-----	200	untouched ('')	application/javascript	date:Wed,%2025%20Jan%202017%2011:01:13%20GMT	http://reinoudvanlaar.nl/wp-content/themes/reinoudvanlaar/js/minified.js?ver=1.0	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/wp-content/themes/reinoudvanlaar/js/minified5152.js	(from http://reinoudvanlaar.nl/project/leavespattern/)
17:34:12	215527/215527	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Jan%202017%2011:02:11%20GMT	http://reinoudvanlaar.nl/wp-content/uploads/2016/03/LeavesPattern_Cups-738x492.jpg	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/wp-content/uploads/2016/03/LeavesPattern_Cups-738x492.jpg	(from http://reinoudvanlaar.nl/project/leavespattern/)
17:34:12	1578865/1578865	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Jan%202017%2011:02:09%20GMT	http://reinoudvanlaar.nl/wp-content/uploads/2016/03/Fluidleaves_MainImage1-1800x1000.jpg	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/wp-content/uploads/2016/03/Fluidleaves_MainImage1-1800x1000.jpg	(from http://reinoudvanlaar.nl/project/leavespattern/)
17:34:12	125/125	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202017%2016:30:53%20GMT	http://www.creativeapplications.net/robots.txt		(from )
17:34:12	282758/282758	U-----	200	untouched ('')	image/gif	date:Wed,%2025%20Jan%202017%2011:02:15%20GMT	http://reinoudvanlaar.nl/wp-content/uploads/2016/03/Leaves_patterns.gif	C:/Users/Eternal%20Applepie/Desktop/p5js/talk/offline_web/Fluid%20Leaves/reinoudvanlaar.nl/wp-content/uploads/2016/03/Leaves_patterns.gif	(from http://reinoudvanlaar.nl/project/leavespattern/)
